Topology,Algorithm,Locality,Load,Repeat,PowerSavings
fattree,Formal,far,1.0,0,35.0
fattree,Greedy,far,1.0,0,75.0
fattree,ElasticTree,far,1.0,0,0.0
fattree,Formal,far,1.0,1,35.0
fattree,Greedy,far,1.0,1,75.0
fattree,ElasticTree,far,1.0,1,0.0
fattree,Formal,far,1.0,2,35.0
fattree,Greedy,far,1.0,2,55.00000000000001
fattree,ElasticTree,far,1.0,2,0.0
fattree,Formal,far,1.0,3,35.0
fattree,Greedy,far,1.0,3,55.00000000000001
fattree,ElasticTree,far,1.0,3,0.0
fattree,Formal,far,1.0,4,35.0
fattree,Greedy,far,1.0,4,55.00000000000001
fattree,ElasticTree,far,1.0,4,0.0
